Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Software features (product.metafields.shopify.software-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
geef-een-boom-cadeau1,Geef een boom cadeau,"<p>Geef een bijzonder en waardevol geschenk. Wij planten een van de 15 verschillende boomsoorten die wij kweken voor degene aan wie je het cadeau schenkt. Nadat je de bestelling hebt voltooid, kun je opgeven naar wie we het certificaat en de boomcodes mogen sturen.</p>
<p>Door het planten van verschillende boomsoorten, zoals een mango-, cashew- of palmboom, zorgen wij voor een verbeterde biodiversiteit én profiteert de lokale bevolking van de opbrengsten van de diverse noten en vruchten: een win-win!</p>
<div>
<p><span style=""font-size: 0.875rem;"">En het mooiste van dit alles: degene aan wie jij de boom of bomen schenkt kan deze altijd terug vinden via onze</span><a style=""font-size: 0.875rem;"" href=""https://www.planteenboom.nu/pages/online-bomen-database"" title=""online bomen database""> website</a><span style=""font-size: 0.875rem;"">. Zo zorgen we voor complete transparantie en kan de ontvanger van het cadeau met trots laten zien waar zijn of haar bomen staan.</span></p>
</div>
<p><br></p>",planteenboom.nu,Uncategorized,bomen,"boom, Gmelina arborea, snel groeiend, Yemani",true,Title,Default Title,,,,,,,,'01,0.0,,continue,manual,10.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0555/9966/1149/products/product2_de69cd4b-a0b6-452e-b3bf-0540364d62db.jpg?v=1638561021,1,"",false,,,,,,,new,FALSE,,,,,,FALSE,,,kg,,2.00,active
kopie-van-koop-een-boom-voor-jezelf1,Koop een boom (voor jezelf),"<div>
<p>Koop een boom voor jezelf en steun de lokale bevolking in Siera Leone. Wij planten een van de 15 verschillende boomsoorten die wij kweken, zoals een mango-, cashew- of palmboom. </p>
<p>Door de grote verschijdenheid aan bomen zorgen we niet alleen voor een verbeterde biodiversiteit, maar profiteert de lokale bevolking ook van de opbrengsten van de diverse noten en vruchten: een win-win!</p>
<p><span data-mce-fragment=""1"" style=""font-size: 0.875rem;"">En het mooiste van dit alles: je kan jouw boom altijd terug vinden via onze</span><a data-mce-fragment=""1"" title=""online bomen database"" href=""https://www.planteenboom.nu/pages/online-bomen-database"" style=""font-size: 0.875rem;""> website</a><span data-mce-fragment=""1"" style=""font-size: 0.875rem;"">. Zo zorgen we voor complete transparantie en kan jij bij de aankoop van meerdere bomen trots laten zien dat je voor een klein bos hebt gezorgd!</span></p>
</div>",planteenboom.nu,Uncategorized,bomen,"boom, Gmelina arborea, snel groeiend, Yemani",true,Title,Default Title,,,,,,,,'02,0.0,,continue,manual,10.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0555/9966/1149/files/hand_540_square_3dee51e2-25fc-4f18-ba39-a7718527de8a.jpg?v=1778171359,1,"",false,Plant een boom. Voor een beter milieu. Compenseer je uitstoot.,,,,,,new,FALSE,,,,,,FALSE,,,kg,,2.00,active
doneer,Doneer (eenmalig),"<p>Iedere bijdrage, groot of klein, maakt al direct verschil! Klik <a href=""https://bunq.me/StichtingPlantNBoom"" title=""betaalink""><span style=""color: rgb(255, 0, 255);"">hier</span></a> om te doneren.</p>
<p><span>Plant N Boom heeft als missie om wereldwijd meer bos te realiseren. Dankzij de donaties die wij ontvangen, kunnen we bomen planten en tegelijkertijd de lokale bevolking in Sierra Leone ondersteunen.</span></p>
<p data-mce-fragment=""1"">Hoe meer bomen we samen planten, des te beter voor het milieu en hoe meer boeren we kunnen helpen:<br></p>
<p data-mce-fragment=""1"">* € <strong data-mce-fragment=""1"">10</strong>: voor dit bedrag planten we 1 boom, daarmee compenseer je 0,5 ton CO2 <br data-mce-fragment=""1"">* € <strong data-mce-fragment=""1"">30</strong>: voor dit bedrag planten we 3 bomen, per jaar goed voor 1,5 ton CO2 compensatie<br data-mce-fragment=""1"">* € <strong data-mce-fragment=""1"">50</strong>: voor dit bedrag planten we 5 bomen, en compenseer 2,5 ton CO2</p>
<p data-mce-fragment=""1""><span>* € </span><strong data-mce-fragment=""1"">100</strong><span>: voor dit bedrag planten we 10 bomen, al snel een klein bos</span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Doe ook mee!</strong></p>
<p data-mce-fragment=""1"">Klik <a href=""https://bunq.me/StichtingPlantNBoom"" title=""doneerlink""><span style=""color: rgb(255, 0, 255);"">hier</span></a> om te doneren</p>
<p data-mce-fragment=""1"">Uw gift kan voordeel opleveren voor de belasting. Bereken <span style=""color: #ff00ff;""><a href=""https://www.anbigift.nl/planteenboom/"" title=""ANBI gift"" style=""color: #ff00ff;"">hier</a></span> uw voordeel.</p>",planteenboom.nu,Uncategorized,donatie,donatie,true,Title,Default Title,,,,,,,,'05,0.0,,continue,manual,10.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0555/9966/1149/products/donate1080square.jpg?v=1639771838,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
abonnement,Persoons-abonnement,"<p><strong>Word een Forest Hero</strong></p>

<p>Plant elke maand 1 boom en help gezinnen in Sierra Leone groeien.</p>

<p class=""western"">
  <a href=""https://planteenboom.chargebee.com/hosted_pages/checkout?subscription_items[item_price_id][0]=1-boom-per-maand-EUR-Monthly"">
    <img alt=""Abonneer hier"" src=""https://cdn.shopify.com/s/files/1/0555/9966/1149/files/playabonneer_240x240.png?v=1664703635"">
  </a>
</p>

<p><strong>Waarom jouw hulp nodig is</strong></p>

<p>
  Voor €10 per maand plant je elke maand een boom in Sierra Leone.<br>
  Samen met lokale vrouwen en jongeren laat je bossen, gezinnen en dromen groeien.
</p>

<p>🌿 <strong>Word vandaag nog Forest Hero.</strong></p>

<p class=""western"">
  <a href=""https://planteenboom.chargebee.com/hosted_pages/checkout?subscription_items[item_price_id][0]=1-boom-per-maand-EUR-Monthly"">
    <img alt=""Abonneer hier"" src=""https://cdn.shopify.com/s/files/1/0555/9966/1149/files/playabonneer_240x240.png?v=1664703635"">
  </a>
</p>
",planteenboom.nu,Uncategorized,"","abonnement, boom, snel groeiend",true,Title,Default Title,,,,,,,,'03,0.0,,deny,manual,10.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0555/9966/1149/products/abonne1080SQUARE.jpg?v=1639771259,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
abonnement-15-eur-per-maand,Gezins-abonnement,"<p>Het gemiddelde Nederlandse gezin is voor 15 euro per maand CO2-neutraal!</p>

<p>Compenseer de maandelijkse CO2-uitstoot van elektriciteitsverbruik, verwarmingskosten, benzineauto en vakantievluchten van een gemiddeld gezin.</p>

<p> </p>

<p class=""western"">
  <a href=""https://planteenboom.chargebee.com/hosted_pages/checkout?subscription_items[item_price_id][0]=15-boom-per-maand-EUR-Monthly"">
    <img src=""https://cdn.shopify.com/s/files/1/0555/9966/1149/files/playabonneer_240x240.png?v=1664703635"" alt=""Abonneer hier"">
  </a>
</p>

<p>Door een abonnement te kiezen werk je mee aan het herstel van tropische bossen en kun je CO2-neutraal worden.</p>

<p>De regenwouden in Sierra Leone dreigen verloren te gaan. Inheemse gemeenschappen beschermen de regenwouden, voor ons allemaal. Het dorpje Makombeh beschermt het regenwoud door bomen te planten. Help ze mee en draag bij aan een beter klimaat!</p>
",planteenboom.nu,Uncategorized,"","abonnement, boom, donatie",true,Title,Default Title,,,,,,,,'04,0.0,,deny,manual,15.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0555/9966/1149/products/hands11080SQUARE.jpg?v=1639771231,1,"",false,,"Compenseer de maandelijkse CO2 uitstoot van je gezin voor 15 EUR per maand. Voor 15 euro is het gemiddelde Nederlandse gezin CO2-neutraal. Dit is inclusief elektriciteitsverbruik (grijs), verwarmingskosten, benzineauto + 1 vakantievlucht (afstand Amsterdam Rome). Met dit abonnement werk je mee aan het herstel van tropische bossen en de biodiversiteit. ",,,,,new,FALSE,,,,,,FALSE,,,kg,,,active
maandelijkse-donatie-plant-n-boom,Maandelijkse donatie,"<p>Plant maandelijks bomen en steun de lokale gemeenschap in Sierra Leone.</p>
<p>Kies je maandelijkse bijdrage.</p>",planteenboom.nu,Services > Environmental Services,"","",true,Bedrag per maand,5,,,,,,,,,0.0,,deny,manual,5.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0555/9966/1149/files/donate540square.jpg?v=1762949685,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
maandelijkse-donatie-plant-n-boom,,,,,,,,,10,,,,,,,,,0.0,,deny,manual,10.00,,false,false,,,,,"",,,,,,,,,,,,,,,,,,,,,kg,,,
maandelijkse-donatie-plant-n-boom,,,,,,,,,20,,,,,,,,,0.0,,deny,manual,20.00,,false,false,,,,,"",,,,,,,,,,,,,,,,,,,,,kg,,,
